asist_bols_real,fecha
2266953,2015-12-01
2176352,2016-01-01
2105464,2016-02-01
2041491,2016-03-01
1945031,2016-04-01
1866788,2016-05-01
1937846,2016-06-01
2076436,2016-07-01
2320248,2016-08-01
2293867,2016-09-01
2240968,2016-10-01
2205289,2016-11-01
2179219,2016-12-01
2144900,2017-01-01
2101465,2017-02-01
2053929,2017-03-01
1999283,2017-04-01
1972144,2017-05-01
2046672,2017-06-01
2106451,2017-07-01
2266086,2017-08-01
2223693,2017-09-01
2190170,2017-10-01
2161209,2017-11-01
2095403,2017-12-01
2059104,2018-01-01
2010040,2018-02-01
1984383,2018-03-01
1949827,2018-04-01
1929452,2018-05-01
1878222,2018-06-01
1876259,2018-07-01
1911306,2018-08-01
1893229,2018-09-01
1796447,2018-10-01
1741434,2018-11-01
1697024,2018-12-01
1721307,2019-01-01
1727430,2019-02-01
1650282,2019-03-01
1595299,2019-04-01
1585233,2019-05-01
1605507,2019-06-01
1676399,2019-07-01
1714433,2019-08-01
1619150,2019-09-01
1567258,2019-10-01
1503581,2019-11-01
1449464,2019-12-01
1477516,2020-01-01
1506899,2020-02-01
1458082,2020-03-01
1436923,2020-04-01
1415020,2020-05-01
1383820,2020-06-01
1357678,2020-07-01
1321833,2020-08-01
1285603,2020-09-01
1325497,2020-10-01
1285125,2020-11-01
1359055,2020-12-01
1306250,2021-01-01
1303878,2021-02-01
1305387,2021-03-01
1379590,2021-04-01
1411494,2021-05-01
1504806,2021-06-01
1461000,2021-07-01
1542447,2021-08-01
1627318,2021-09-01
1632455,2021-10-01
1592291,2021-11-01
1686571,2021-12-01
1678522,2022-01-01
1676375,2022-02-01
1570501,2022-03-01
1545718,2022-04-01
1559265,2022-05-01
1717739,2022-06-01
1599163,2022-07-01
1799251,2022-08-01
1694715,2022-09-01
1730545,2022-10-01
1758214,2022-11-01
1672519,2022-12-01
1675036,2023-01-01
1728054,2023-02-01
1721532,2023-03-01
1657196,2023-04-01
1622222,2023-05-01
1791420,2023-06-01
1869809,2023-07-01
1862466,2023-08-01
1833597,2023-09-01
2048540,2023-10-01
1997496,2023-11-01
1735371,2023-12-01
1668999,2024-01-01
1650696,2024-02-01
1605944,2024-03-01
1505140,2024-04-01
1545934,2024-05-01
1478272,2024-06-01
1470734,2024-07-01
1454182,2024-08-01
1433533,2024-09-01
1409900,2024-10-01
1404043,2024-11-01
1380742,2024-12-01
1371140,2025-01-01
1355045,2025-02-01
1323684,2025-03-01
1304369,2025-04-01
1289099,2025-05-01
1265063,2025-06-01
