fecha,salario_real
2023-11-01,1197622.536536997
2023-12-01,1007078.6016440694
2024-01-01,834958.3966827831
2024-02-01,855287.507420601
2024-03-01,862905.375296493
2024-04-01,856302.3110315214
2024-05-01,895943.2684370449
2024-06-01,890996.5342011467
2024-07-01,920702.2599693908
2024-08-01,910338.8453473705
2024-09-01,897411.4042129851
2024-10-01,933308.2248099332
2024-11-01,929419.4434198672
2024-12-01,904948.689250188
2025-01-01,907637.4566530128
2025-02-01,896986.1211049922
2025-03-01,875978.8481356053
2025-04-01,863357.2845653009
2025-05-01,861645.4694484333
2025-06-01,858940.8752366416
2025-07-01,853869.8737752355
2025-08-01,848828.0
